SIMBOLO;NOMBRE;USAR
BTC-USD;Bitcoin;1
NFLX;Netflix, Inc.;1
INO;Inovio Pharmaceuticals, Inc.;
AI;C3.ai, Inc.;
SQ;Block, Inc.;
AKRO;Akero Therapeutics, Inc.;
TPST;Tempest Therapeutics, Inc.;
PLUG;Plug Power Inc.;
NVO;Novo Nordisk A/S;
HYLN;Hyliion Holdings Corp.;
SPCB;SuperCom Ltd.;
RUN;Sunrun Inc.;
SMCI;Super Micro Computer, Inc.;
SLS;SELLAS Life Sciences Group, Inc.;
PSNY;Polestar Automotive Holding UK PLC;
GRPN;Groupon, Inc.;
FCEL;FuelCell Energy, Inc.;1
DVA;DaVita Inc.;1
ENPH;Enphase Energy, Inc.;
TUP;Tupperware Brands Corporation;
AMD;Advanced Micro Devices, Inc.;
AGIL;AgileThought, Inc.;
LLY;Eli Lilly and Company;
ACHR;Archer Aviation Inc.;
ATHX;Athersys, Inc.;
PWM;Prestige Wealth Inc.;
SILK;Silk Road Medical, Inc;
COHR;Coherent Corp.;
RNW;ReNew Energy Global Plc;
TFC;Truist Financial Corporation;
CRSP;CRISPR Therapeutics AG;
MMM;;
AXP;;
AMGN;;
AAPL;;1
BA;;
CAT;;
CVX;;
CSCO;;
KO;;
DIS;;
DOW;;1
GS;;
HD;;
HON;;
IBM;;
INTC;;
JNJ;;
JPM;;
MCD;;
MRK;;
MSFT;Microsoft;
NKE;;
PG;;
CRM;;
TRV;;
UNH;;
VZ;;
V;;
WBA;;
WMT;Walmart;1
TSLA;Tesla;1
AMZN;Amazon;1
BRK-A;Berkshire Hathaway ;1
