CAT_BASE;DEFAULT_VALUE;MIN;MAX;NATURALEZA_VALOR;MIN_MAX_DELTA_EN_UNA_ITER;LÓGICA;LÓGICA COMENTARIO;DESCRIPCION;RANDOM
A;1;1;8;int;1;NA;;Número de capas ocultas que tiene la red;False
B1;30;1;80;int;10;NA;;B1-i: Número de neuronas que tiene la capa i;False
B2;0;0;1;bin;1;max bin;"Elegir el máximo dentro de la categoría B2-{capa} y llevar a 1. Dejar los demás en 0. 
En valor por default, todos son 0…si todos son iguales, elegir random";B2-i: Se elige el máximo de los binarios para determinar la función de activación de la capa i;False
B3;0.2;0;0.5;float;1;;;B3-i: Drop out ratio de la capa i;False
B4;0;0;0;bin;0;bin;"Si es < 0.5, asignar 0
Si es >= 0.5, asignar 1";B4-i: si es 1, la capa es biireccional, si es 0, no (por ahora, fijado en 0);False
B5;0;0;0;bin;0;bin;"Si es < 0.5, asignar 0
Si es >= 0.5, asignar 1";B5-i: si es 1, la capa es GRU, si es 0, es LSTM;False
C1.1;0;0;1;bin;0;bin;"Si es < 0.5, asignar 0
Si es >= 0.5, asignar 1";Si es 1, se cierra con una capa densa (fully connected), antes de la capa de salida;False
C1.2;64;1;inf;int;10;NA;;Número de neuronas de la (eventual) capa densa;False
C2;0;0;1;bin;1;max bin;"Elegir el máximo dentro de la categoría C2 y llevar a 1. Dejar los demás en 0. 
En valor por default, todos son 0…si todos son iguales, elegir random";C2: Se elige el máximo de los binarios para determinar la función de activación de la (eventual) capa densa;False
D;0;0;1;bin;1;max bin;"Elegir el máximo dentro de la categoría D y llevar a 1. Dejar los demás en 0. 
En valor por default, todos son 0…si todos son iguales, elegir random";Optimizador de la red neuronal (max bin - aleatorio);True
E;0;0;1;bin;1;max bin;"Elegir el máximo dentro de la categoría E y llevar a 1. Dejar los demás en 0. 
En valor por default, todos son 0…si todos son iguales, elegir random";Loss: por ahora ecm y ema (max bin - aleatorio);True
F;32;0;256;int;10;NA;;batch size para el entrenamiento (aleatorio);True
G;1;0;1;bin;1;bin;"Si es < 0.5, asignar 0
Si es >= 0.5, asignar 1";Conjunto de todos los inputs de la red (POFs);False
