N_capas;n_neurs_capa_0;actfunct_capa_0_tanh;actfunct_capa_0_relu;actfunct_capa_0_sigmoid;dropout_capa_0;bidirectional_capa_0;LSTM_o_GRU_capa_0;cerrar_con_capa_densa;n_neurs_capa_densa;actfunct_capa_densa_tanh;actfunct_capa_densa_relu;actfunct_capa_densa_sigmoid;actfunct_capa_densa_None;optimizador_adam;optimizador_sgd;loss_function_mean_squared_error;loss_function_mean_absolute_error;batch_size;Media_Movil_250_Close;Fibonacci_300_cuerpo;Media_Movil_50_rendimiento;Media_Movil_250_rendimiento;Fibonacci_150_sombra;Media_Movil_3_Close;Fibonacci_20_cuerpo;Fibonacci_50_sombra;Media_Movil_30_Close;Media_Movil_100_rendimiento;Fibonacci_100_sombra;Media_Movil_150_Close;Media_Movil_100_Close;Media_Movil_20_Close;Fibonacci_50_cuerpo;Media_Movil_20_rendimiento;Suavizamiento_Exponencial_0.3_rendimiento;Fibonacci_300_sombra;Fibonacci_150_cuerpo;Suavizamiento_Exponencial_0.2_rendimiento;Media_Movil_300_Close;Suavizamiento_Exponencial_0.1_Close;Fibonacci_80_cuerpo;Media_Movil_120_rendimiento;Media_Movil_4_rendimiento;Suavizamiento_Exponencial_0.5_Close;Media_Movil_10_rendimiento;Fibonacci_100_cuerpo;Media_Movil_200_rendimiento;Media_Movil_80_Close;Suavizamiento_Exponencial_0.05_rendimiento;Suavizamiento_Exponencial_0.4_Close;Fibonacci_200_cuerpo;Media_Movil_30_rendimiento;Media_Movil_150_rendimiento;Fibonacci_20_sombra;Suavizamiento_Exponencial_0.6_Close;Media_Movil_200_Close;Suavizamiento_Exponencial_0.3_Close;Suavizamiento_Exponencial_0.7_Close;Media_Movil_120_Close;Fibonacci_80_sombra;Media_Movil_10_Close;Media_Movil_4_Close;Media_Movil_5_rendimiento;Media_Movil_3_rendimiento;Suavizamiento_Exponencial_0.1_rendimiento;Suavizamiento_Exponencial_0.2_Close;Suavizamiento_Exponencial_0.4_rendimiento;Media_Movil_300_rendimiento;Suavizamiento_Exponencial_0.5_rendimiento;Suavizamiento_Exponencial_0.05_Close;Media_Movil_5_Close;Media_Movil_50_Close;Media_Movil_80_rendimiento;Suavizamiento_Exponencial_0.7_rendimiento;Fibonacci_200_sombra;Suavizamiento_Exponencial_0.6_rendimiento;ECM_test;loss_func;ECM_test_norm;n_neurs_capa_1;actfunct_capa_1_tanh;actfunct_capa_1_relu;actfunct_capa_1_sigmoid;dropout_capa_1;bidirectional_capa_1;LSTM_o_GRU_capa_1;n_neurs_capa_2;actfunct_capa_2_tanh;actfunct_capa_2_relu;actfunct_capa_2_sigmoid;dropout_capa_2;bidirectional_capa_2;LSTM_o_GRU_capa_2;n_neurs_capa_3;actfunct_capa_3_tanh;actfunct_capa_3_relu;actfunct_capa_3_sigmoid;dropout_capa_3;bidirectional_capa_3;LSTM_o_GRU_capa_3;n_neurs_capa_4;actfunct_capa_4_tanh;actfunct_capa_4_relu;actfunct_capa_4_sigmoid;dropout_capa_4;bidirectional_capa_4;LSTM_o_GRU_capa_4;n_neurs_capa_5;actfunct_capa_5_tanh;actfunct_capa_5_relu;actfunct_capa_5_sigmoid;dropout_capa_5;bidirectional_capa_5;LSTM_o_GRU_capa_5;n_neurs_capa_6;actfunct_capa_6_tanh;actfunct_capa_6_relu;actfunct_capa_6_sigmoid;dropout_capa_6;bidirectional_capa_6;LSTM_o_GRU_capa_6;n_neurs_capa_7;actfunct_capa_7_tanh;actfunct_capa_7_relu;actfunct_capa_7_sigmoid;dropout_capa_7;bidirectional_capa_7;LSTM_o_GRU_capa_7;n_neurs_capa_8;actfunct_capa_8_tanh;actfunct_capa_8_relu;actfunct_capa_8_sigmoid;dropout_capa_8;bidirectional_capa_8;LSTM_o_GRU_capa_8;n_neurs_capa_9;actfunct_capa_9_tanh;actfunct_capa_9_relu;actfunct_capa_9_sigmoid;dropout_capa_9;bidirectional_capa_9;LSTM_o_GRU_capa_9;n_neurs_capa_10;actfunct_capa_10_tanh;actfunct_capa_10_relu;actfunct_capa_10_sigmoid;dropout_capa_10;bidirectional_capa_10;LSTM_o_GRU_capa_10;n_neurs_capa_11;actfunct_capa_11_tanh;actfunct_capa_11_relu;actfunct_capa_11_sigmoid;dropout_capa_11;bidirectional_capa_11;LSTM_o_GRU_capa_11;n_neurs_capa_12;actfunct_capa_12_tanh;actfunct_capa_12_relu;actfunct_capa_12_sigmoid;dropout_capa_12;bidirectional_capa_12;LSTM_o_GRU_capa_12;n_neurs_capa_13;actfunct_capa_13_tanh;actfunct_capa_13_relu;actfunct_capa_13_sigmoid;dropout_capa_13;bidirectional_capa_13;LSTM_o_GRU_capa_13;n_neurs_capa_14;actfunct_capa_14_tanh;actfunct_capa_14_relu;actfunct_capa_14_sigmoid;dropout_capa_14;bidirectional_capa_14;LSTM_o_GRU_capa_14
1,0;60,0;0,0;0,0;1,0;0,2;0,0;0,0;0,0;64,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;1,0;32,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,021323146298527718;mean_absolute_error;0,9967293349345353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,0;50,0;0,0;1,0;0,0;0,5;0,0;0,0;0,0;74,0;1,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;22,0;1,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;1,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0010578575311228633;mean_squared_error;0,9919435332447043;60,0;0,0;1,0;0,0;0,2;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,0;40,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;64,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;32,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;1,0;1,0;0,0;1,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,021308263763785362;mean_absolute_error;0,9960336656018669;70,0;0,0;0,0;1,0;0,0;0,0;0,0;60,0;0,0;0,0;1,0;0,2;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,0;39,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;64,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;31,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;1,0;1,0;0,0;1,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,02131662517786026;mean_absolute_error;0,9964245116136753;70,0;0,0;0,0;1,0;4,6914419187981304e-08;0,0;0,0;60,0;0,0;0,0;1,0;0,20000153823996575;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,0;39,0;0,0;1,0;0,0;3,676824454484601e-05;0,0;0,0;0,0;64,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;31,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,02131209336221218;mean_absolute_error;0,9962126763838401;70,0;1,0;0,0;0,0;2,392351527876262e-05;0,0;0,0;59,0;0,0;1,0;0,0;0,20000055442482984;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,0;39,0;0,0;1,0;0,0;6,0641694028033764e-05;0,0;0,0;0,0;64,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;31,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,021307576447725296;mean_absolute_error;0,9960015376940128;70,0;1,0;0,0;0,0;4,219767880460793e-05;0,0;0,0;58,0;0,0;1,0;0,0;0,20000406179298388;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,0;38,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;63,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;31,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,021314945071935654;mean_absolute_error;0,9963459767278096;70,0;1,0;0,0;0,0;0,0;0,0;0,0;57,0;0,0;1,0;0,0;0,2006904042927884;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,0;37,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;63,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;31,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,021313196048140526;mean_absolute_error;0,9962642203444083;69,0;1,0;0,0;0,0;0,0;0,0;0,0;56,0;0,0;1,0;0,0;0,20701787761599666;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,0;37,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;63,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;31,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,021308019757270813;mean_absolute_error;0,9960222597592412;69,0;1,0;0,0;0,0;0,0;0,0;0,0;55,0;0,0;1,0;0,0;0,21480556599523704;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,0;37,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;63,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;31,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,02131272666156292;mean_absolute_error;0,9962422793341665;69,0;1,0;0,0;0,0;0,0;0,0;0,0;54,0;0,0;1,0;0,0;0,22254048593640385;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
